Name,Position,Birthday
Rich Fitzgerald,County Executive
Thomas Baker,"Council Member, 1"
John DeFazio,"Council Member, At-Large"
Sam DeMarco,"Council Member, At-Large"
James Ellenbogen,"Council Member, 12"
Michael Finnerty,"Council Member, 4"
Nicholas Futules,"Council Member, 7"
Cindy Kirk,"Council Member, 2"
Paul Klein,"Council Member, 11"
Edward Kress,"Council Member, 3"
Robert Macey,"Council Member, 9"
Charles Martoni,"Council Member, 8"
Susan Means,"Council Member, 5"
John Palmiere,"Council Member, 6"
Denise Ranalli-Russell,"Council Member, 13"
DeWitt Walton,"Council Member, 10"
Stephen Zappala Jr.,District Attorney
William Mullen,Sheriff
John Weinstein,County Treasurer
Chelsa Wagner,County Controller
