Name,Position,Birthday
Thomas Muller,County Executive
Geoffrey Brace,"Commissioner, 4"
Thomas Creighton III,"Commissioner, 1"
Percy Dougherty,"Commissioner, 2"
Dan Hartzell,"Commissioner, At-Large"
Amanda Holt,"Commissioner, At-Large"
David Jones Sr.,"Commissioner, 3"
Marty Nothstein,"Commissioner, At-Large"
Brad Osborne,"Commissioner, At-Large"
Michael Schware,"Commissioner, 5"
Scott Grimm,Coroner
Joseph Hanna,Sheriff
Glenn Eckhart,Controller
Sandra Schantz,County Register Of Wills
Andrea Naugle,County Clerk Of Courts
