Name,Position,Birthday
Lawrence Krasner,Philadelphia County District Attorney,
Rebecca Rhynhart,Philadelphia County City Controller,
Jewell Williams,Philadelphia County Sheriff
Ronaldo Donatucci,Philadelphia Register of Williams
Anthony Clark,Philadelphia County Commissioner
Lisa Deeley,Philadelphia County Commissioner
Helen Gym,Philadelphia County Councillor
Derek Gree,Philadelphia County Councillor
Allan Domb,Philadelphia County Councillor
Blondell Brown,Philadelphia County Councillor
William Greenlee,Philadelphia County Councillor
Mark Squilla,Philadelphia County Councillor
Kenyatta Johnson,Philadelphia County Councillor
Jannie Blackwell,Philadelphia County Councillor
Curtis Jones,Philadelphia County Councillor
Darrell Clarke,Philadelphia County Councillor
Bobby Henon,Philadelphia County Councillor
Maria Sanchez,Philadelphia County Councillor
Cindy Bass,Philadelphia County Councillor
Cherelle Parker,Philadelphia County Councillor
