County,Precinct,Office,District,Party,Candidate,Votes
Bergen,Allendale 1 - Election Day,U.S House,5,,Ballots Cast,1118
Bergen,Allendale 2 - Election Day,U.S House,5,,Ballots Cast,622
Bergen,Allendale 3 - Election Day,U.S House,5,,Ballots Cast,667
Bergen,Allendale 4 - Election Day,U.S House,5,,Ballots Cast,1027
Bergen,Allendale Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,302
Bergen,Allendale Provisional - Provisional,U.S House,5,,Ballots Cast,37
Bergen,Alpine 1 - Election Day,U.S House,5,,Ballots Cast,817
Bergen,Alpine Mail-In Ballot - Mail-In Ballo,U.S House,5,,Ballots Cast,89
Bergen,Alpine Provisional - Provisional,U.S House,5,,Ballots Cast,15
Bergen,Bergenfield 1 - Election Day,U.S House,5,,Ballots Cast,530
Bergen,Bergenfield 2 - Election Day,U.S House,5,,Ballots Cast,629
Bergen,Bergenfield 3 - Election Day,U.S House,5,,Ballots Cast,543
Bergen,Bergenfield 4 - Election Day,U.S House,5,,Ballots Cast,629
Bergen,Bergenfield 5 - Election Day,U.S House,5,,Ballots Cast,622
Bergen,Bergenfield 6 - Election Day,U.S House,5,,Ballots Cast,625
Bergen,Bergenfield 7 - Election Day,U.S House,5,,Ballots Cast,530
Bergen,Bergenfield 8 - Election Day,U.S House,5,,Ballots Cast,592
Bergen,Bergenfield 9 - Election Day,U.S House,5,,Ballots Cast,582
Bergen,Bergenfield 10 - Election Day,U.S House,5,,Ballots Cast,802
Bergen,Bergenfield 11 - Election Day,U.S House,5,,Ballots Cast,712
Bergen,Bergenfield 12 - Election Day,U.S House,5,,Ballots Cast,767
Bergen,Bergenfield 13 - Election Day,U.S House,5,,Ballots Cast,808
Bergen,Bergenfield 14 - Election Day,U.S House,5,,Ballots Cast,552
Bergen,Bergenfield 15 - Election Day,U.S House,5,,Ballots Cast,781
Bergen,Bergenfield 16 - Election Day,U.S House,5,,Ballots Cast,637
Bergen,Bergenfield 17 - Election Day,U.S House,5,,Ballots Cast,621
Bergen,Bergenfield Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,562
Bergen,Bergenfield Provisional - Provision,U.S House,5,,Ballots Cast,129
Bergen,Bogota 1 - Election Day,U.S House,5,,Ballots Cast,588
Bergen,Bogota 2 - Election Day,U.S House,5,,Ballots Cast,744
Bergen,Bogota 3 - Election Day,U.S House,5,,Ballots Cast,657
Bergen,Bogota 4 - Election Day,U.S House,5,,Ballots Cast,665
Bergen,Bogota 5 - Election Day,U.S House,5,,Ballots Cast,417
Bergen,Bogota 6 - Election Day,U.S House,5,,Ballots Cast,578
Bergen,Bogota Mail-In Ballot - Mail-In Ball,U.S House,5,,Ballots Cast,206
Bergen,Bogota Provisional - Provisional,U.S House,5,,Ballots Cast,35
Bergen,Closter 1 - Election Day,U.S House,5,,Ballots Cast,481
Bergen,Closter 2 - Election Day,U.S House,5,,Ballots Cast,619
Bergen,Closter 3 - Election Day,U.S House,5,,Ballots Cast,586
Bergen,Closter 4 - Election Day,U.S House,5,,Ballots Cast,591
Bergen,Closter 5 - Election Day,U.S House,5,,Ballots Cast,599
Bergen,Closter 6 - Election Day,U.S House,5,,Ballots Cast,734
Bergen,Closter Mail-In Ballot - Mail-In Ball,U.S House,5,,Ballots Cast,314
Bergen,Closter Provisional - Provisional,U.S House,5,,Ballots Cast,28
Bergen,Demarest 1 - Election Day,U.S House,5,,Ballots Cast,775
Bergen,Demarest 2 - Election Day,U.S House,5,,Ballots Cast,729
Bergen,Demarest 3 - Election Day,U.S House,5,,Ballots Cast,754
Bergen,Demarest Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,254
Bergen,Demarest Provisional - Provisiona,U.S House,5,,Ballots Cast,16
Bergen,Dumont 1 - Election Day,U.S House,5,,Ballots Cast,663
Bergen,Dumont 2 - Election Day,U.S House,5,,Ballots Cast,831
Bergen,Dumont 3 - Election Day,U.S House,5,,Ballots Cast,698
Bergen,Dumont 4 - Election Day,U.S House,5,,Ballots Cast,871
Bergen,Dumont 5 - Election Day,U.S House,5,,Ballots Cast,742
Bergen,Dumont 6 - Election Day,U.S House,5,,Ballots Cast,801
Bergen,Dumont 7 - Election Day,U.S House,5,,Ballots Cast,727
Bergen,Dumont 8 - Election Day,U.S House,5,,Ballots Cast,881
Bergen,Dumont 9 - Election Day,U.S House,5,,Ballots Cast,762
