County,Precinct,Office,District,Party,Candidate,Votes
Bergen,Allendale 1 - Election Day,President,,,Registration,1658
Bergen,Allendale 2 - Election Day,President,,,Registration,904
Bergen,Allendale 3 - Election Day,President,,,Registration,1036
Bergen,Allendale 4 - Election Day,President,,,Registration,1564
Bergen,Allendale Mail-In Ballot - Mail-In B,President,,,Registration,0
Bergen,Allendale Provisional - Provisional,President,,,Registration,0
Bergen,Alpine 1 - Election Day,President,,,Registration,1480
Bergen,Alpine Mail-In Ballot - Mail-In Ballo,President,,,Registration,0
Bergen,Alpine Provisional - Provisional,President,,,Registration,0
Bergen,Bergenfield 1 - Election Day,President,,,Registration,808
Bergen,Bergenfield 2 - Election Day,President,,,Registration,906
Bergen,Bergenfield 3 - Election Day,President,,,Registration,837
Bergen,Bergenfield 4 - Election Day,President,,,Registration,905
Bergen,Bergenfield 5 - Election Day,President,,,Registration,914
Bergen,Bergenfield 6 - Election Day,President,,,Registration,901
Bergen,Bergenfield 7 - Election Day,President,,,Registration,838
Bergen,Bergenfield 8 - Election Day,President,,,Registration,866
Bergen,Bergenfield 9 - Election Day,President,,,Registration,917
Bergen,Bergenfield 10 - Election Day,President,,,Registration,1174
Bergen,Bergenfield 11 - Election Day,President,,,Registration,1027
Bergen,Bergenfield 12 - Election Day,President,,,Registration,1113
Bergen,Bergenfield 13 - Election Day,President,,,Registration,1217
Bergen,Bergenfield 14 - Election Day,President,,,Registration,830
Bergen,Bergenfield 15 - Election Day,President,,,Registration,1189
Bergen,Bergenfield 16 - Election Day,President,,,Registration,960
Bergen,Bergenfield 17 - Election Day,President,,,Registration,896
Bergen,Bergenfield Mail-In Ballot - Mail-In,President,,,Registration,0
Bergen,Bergenfield Provisional - Provision,President,,,Registration,0
Bergen,Bogota 1 - Election Day,President,,,Registration,838
Bergen,Bogota 2 - Election Day,President,,,Registration,1050
Bergen,Bogota 3 - Election Day,President,,,Registration,992
Bergen,Bogota 4 - Election Day,President,,,Registration,927
Bergen,Bogota 5 - Election Day,President,,,Registration,581
Bergen,Bogota 6 - Election Day,President,,,Registration,856
Bergen,Bogota Mail-In Ballot - Mail-In Ball,President,,,Registration,0
