Allendale 1 - Election Day,1658,1118,67.43,503,541,29,11,1,0,1,0,0,12
Allendale 2 - Election Day,904,622,68.81,307,271,10,3,0,0,1,0,0,16
Allendale 3 - Election Day,1036,667,64.38,322,291,17,7,0,0,0,0,1,12
Allendale 4 - Election Day,1564,1027,65.66,506,451,28,9,2,0,0,0,0,16
Allendale Mail-In Ballot - Mail-In B,0,302,0.00,102,185,12,0,0,0,0,0,0,6
Allendale Provisional - Provisional,0,37,0.00,16,20,0,0,0,0,0,0,0,0
Alpine 1 - Election Day,1480,817,55.20,380,391,11,9,0,0,0,0,0,2
Alpine Mail-In Ballot - Mail-In Ballo,0,89,0.00,29,63,2,0,0,0,0,0,0,0
Alpine Provisional - Provisional,0,15,0.00,10,4,1,0,0,0,0,0,0,0
Bergenfield 1 - Election Day,808,530,65.59,178,324,10,7,1,1,0,1,1,3
Bergenfield 2 - Election Day,906,629,69.43,210,397,6,5,0,0,0,0,0,3
Bergenfield 3 - Election Day,837,543,64.87,152,359,9,8,0,1,0,0,3,4
Bergenfield 4 - Election Day,905,629,69.50,214,383,8,6,1,0,1,0,0,4
Bergenfield 5 - Election Day,914,622,68.05,188,405,14,7,0,0,0,0,1,2
Bergenfield 6 - Election Day,901,625,69.37,185,414,11,3,0,0,1,0,0,0
Bergenfield 7 - Election Day,838,530,63.25,151,344,11,7,1,1,0,1,0,2
Bergenfield 8 - Election Day,866,592,68.36,187,382,8,8,0,0,0,0,0,2
Bergenfield 9 - Election Day,917,582,63.47,116,453,2,5,1,0,0,0,0,3
Bergenfield 10 - Election Day,1174,802,68.31,372,363,22,6,0,1,0,0,0,18
Bergenfield 11 - Election Day,1027,712,69.33,358,315,14,1,2,0,0,0,0,7
Bergenfield 12 - Election Day,1113,767,68.91,241,497,9,5,0,0,2,0,0,7
Bergenfield 13 - Election Day,1217,808,66.39,215,553,9,4,3,0,0,0,0,5
Bergenfield 14 - Election Day,830,552,66.51,169,361,4,4,0,0,0,1,0,4
Bergenfield 15 - Election Day,1189,781,65.69,231,523,7,10,2,0,1,0,1,2
Bergenfield 16 - Election Day,960,637,66.35,211,396,10,7,1,0,0,0,0,2
Bergenfield 17 - Election Day,896,621,69.31,161,433,8,5,0,0,0,0,1,2
Bergenfield Mail-In Ballot - Mail-In,0,562,0.00,164,414,8,5,0,0,1,0,0,5
Bergenfield Provisional - Provision,0,129,0.00,42,79,0,0,0,0,0,0,0,0
Bogota 1 - Election Day,838,588,70.17,202,353,12,3,0,0,0,0,0,6
Bogota 2 - Election Day,1050,744,70.86,205,499,16,7,3,0,1,1,0,4
Bogota 3 - Election Day,992,657,66.23,218,404,10,7,0,0,0,0,1,5
Bogota 4 - Election Day,927,665,71.74,242,382,16,10,2,1,1,0,1,1
Bogota 5 - Election Day,581,417,71.77,127,271,5,2,0,0,0,0,0,4
Bogota 6 - Election Day,856,578,67.52,154,390,8,9,0,0,2,0,0,9
Bogota Mail-In Ballot - Mail-In Ball,0,206,0.00,76,127,3,0,0,0,0,0,0,3
Bogota Provisional - Provisional,0,35,0.00,6,28,1,0,0,0,0,0,0,0
Carlstadt 1 - Election Day,655,480,73.28,249,203,12,8,0,0,0,0,0,1
Carlstadt 2 - Election Day,852,603,70.77,312,252,13,9,0,0,1,0,0,3
Carlstadt 3 - Election Day,779,556,71.37,260,255,20,5,0,0,0,0,0,3
Carlstadt 4 - Election Day,797,587,73.65,270,283,13,5,0,0,0,0,0,5
Carlstadt 5 - Election Day,777,521,67.05,274,223,8,6,1,0,0,0,0,3
Carlstadt Mail-In Ballot - Mail-In Ba,0,156,0.00,87,63,3,1,0,0,0,0,0,3
Carlstadt Provisional - Provisional,0,21,0.00,10,10,0,0,0,0,0,1,0,0
Cliffside Park 1 - Election Day,837,545,65.11,148,376,10,5,1,0,0,0,0,3
Cliffside Park 2 - Election Day,891,544,61.05,155,368,4,4,0,0,1,0,0,2
Cliffside Park 3 - Election Day,889,557,62.65,148,374,7,11,0,0,0,0,0,5
Cliffside Park 4 - Election Day,1335,902,67.57,344,528,9,11,0,0,0,0,0,3
Cliffside Park 5 - Election Day,798,493,61.78,152,324,1,4,2,0,1,0,1,2
Cliffside Park 6 - Election Day,793,536,67.59,187,323,4,8,0,0,0,0,0,2
Cliffside Park 7 - Election Day,844,556,65.88,217,316,4,8,0,0,1,0,0,2
Cliffside Park 8 - Election Day,872,600,68.81,165,391,5,9,1,0,0,0,0,1
Cliffside Park 9 - Election Day,697,468,67.14,198,253,10,2,0,0,0,0,0,0
Cliffside Park 10 - Election Day,1214,741,61.04,286,428,5,12,0,0,0,0,0,2
Cliffside Park 11 - Election Day,627,393,62.68,131,242,5,7,0,1,0,0,0,0
Cliffside Park 12 - Election Day,590,362,61.36,139,207,4,9,0,0,0,0,0,1
Cliffside Park 13 - Election Day,940,586,62.34,197,362,10,7,1,0,0,0,0,2
Cliffside Park 14 - Election Day,822,540,65.69,234,289,5,3,0,0,0,0,0,2
